Method,../results/double/config\clean\0,../results/double/config\clean\1,../results/double/config\clean\2,../results/double/config\clean\3,../results/double/config\noisy\10,../results/double/config\noisy\11,../results/double/config\noisy\12,../results/double/config\noisy\13,../results/double/config\noisy\4,../results/double/config\noisy\5,../results/double/config\noisy\6,../results/double/config\noisy\7,../results/double/config\noisy\8,../results/double/config\noisy\9
cufft,61db29b40066936db1cb5f0beeef6f0bec67354770ddaeac6c7c6f805f0b70a2,93c4a5ca28f5141336335f7927579285fba354614827e3e4e84c5a41c6e798a1,da091baa8dc441895f8fcb279794ab0ee05eaed921d738c47d8e796c4a134e2f,3e3c612958484b26eeb4b5c84606a18b695ac1906bdd5d0736cdf117095e4fd3,35cf98101807c977461f3bde1e7d3276192dcc97ed804e2a32300124d160bbc1,b10ae68f94e962b433e1e59021fc28da35f5a652ccf67f6faeb038c5085a2470,987dd007cbb3467c2b30126369d9bdb4b419fd685a9a0fb6cc7c7722102e51fb,4c59ad0bb2a0861d87fc2f0488e72a1a783ec390da086e16a492c6b73426d188,ae4c0e3ff1419b10d91bd2a552975ffca2f8dd606cea9df47886274aa9684e9d,0451fc5c0f572776ee797947e13b53f84ef08b886eb0bbc4f69e9c44c10d3fa6,d6c14ae744533d82ebc45c350eb2bf8926a513af446b0d103ad6be588588d0d7,ac0eb4c4f9f14133ceccea6e127450001b44c7f2504225af2a5f7e85f0dc5e78,50950d20b910155aab9e6b2b41ed9f933ebe9167d53e4f8fde8a1e03c1630abe,0f3752b5b1aa31d3c315f5dd4df75e027418709908a1039789ed6081229bb403
fftw,12793c75cf93f44bc1a8bed3ed77131044b9d42596844f75c3de55ff3322f215,c3fd5dee03d9fd2ade64f9188651ad6fef15b9d2bf1b0f97488936a651a9851c,01efbe6baff4a4b8c36ec82f103cbe234ee395fa381ea59c6608e411a8936b17,6cfe9d625763153a405f7b1e8f92784dc84c19a528a632cc5081995cf3df9f19,4b56721e5d17bcdc0652097ff983d647d62f836632e1a3fa9d05e9a09a8ca0e6,16fe878d0301d2a89b1a3d9bc825efbd098e63c93bae0360a0196b0643947d6f,1b9147f344b42d5765a361f7288a148a630370623204ca011778480b510aaf62,2ade5642c8c38621e128ccee67a5243e2e0403d0b91eb10910827a7d20fcf828,cbff88ba4fe9cbe6e6c51306db4863619edcc37880518d2b6b37c2338a8f23f2,9f2c6220ae3e297ff8fd64ee5bd0375699ef5fc94628c016775eadd0f08b0a60,7b4dc75a6cbc4cfdcb606bc354e484bdca5df07397a3e7450d6d3e6bc22822a5,ebdbf187bded2963556676a57765b6a565fa0afb527973ecb9dd344d85605efa,c8b2570f77091c8662dbf409358ae0f332e01e399fac472ebda9838d3e929d35,b68d41cc4b7fa21b0d5fc7b7f38d7dd0034834abb39f5de274eb284a8a782036
numpy_fft,e7eaeb92e48dabb57d783191327cb444a0b1774b3541ad77d0c9a900fb3d4103,acb649eca6cfe1de5e19c40a501befc19204ecbb69616cdaaf9555f45d810439,9ea6cc8f19738227c44e5cd980a89e174b1052422c2565872352e56c5e600c8f,ee7f2e09d6d94d2cf5c919f2b6f06f17df84156cdeb81b72a315cfef9d77f6bc,3d6997e4255e4b0a65ce51e5bf52df0a50d0f18ef3bcee3ccbc8b35197636676,547984649ab5aa2c4abd81c9fcc7ae20506a0887c2968b6782e02af51757edc6,e97f6e8775cedbcbdd49d543fec9c19c6bc9b7252d40c79d445d24f737741f25,6e386c41e46bb48f0b455359e92795893112675838fc1a605af9c08947feb501,702b882647273865f6ccbc2a0545a51a010df68291121588bfe231a8a56395ba,5d4eae80ea56a4f5e92fcaa58912ed980b9c41b016e2cf14de27653a0bf4027c,a5a52a44e9c9c8f0ea2056bf44844d2aa030b1eb53cdae10a53ee5d7b5aaae5c,e25b7cbdea687d43983b17cd1d6ca469ee4a53960377ba4490ccc6ed2da080ac,64733259753090b62fad942db2ea6669e0e62e6c96e1933bca283cb3531d45b0,d6f4ab05a159e94ae32466888ff59ee3a57f0537558fd4d0917486221c57d55d
numpy_pointwise,5e852158c4c039aa9beafc51c28657b4de2fb32c3862f4c7bba0c6e4220177ec,9a75fdb239c820e4ae7af9c7c54fe806ecd652c969c027a9fac6133ff9d1b817,9feb1183301b9ae1ce779f1b81fbc2309e74adf991a30e0ab7672eb434c306f5,b188336a6507adf0959aaea532b5fe0b2f26ae5f706431fa77ddf632772f8177,2ec0e82785e3af4a74fce2cccbc28a606f001e502d617c7b11eb6ba5ed761bc8,20f45e102043633708dcd573ed2b6f899deb21aeba44d5b9f83ae6cb54be392a,9cc1448bd5c66b70f00b72f24ab16dfba9de88096ebc4293fb5da0b2d8515801,9abc21d4c585ffe889ef733d54594160e5afcba53117a5451f9ef0fc1a111a86,847431e4b16f8cb9ed35bb549774700e3bc2799f6c6dd5b96c64b93f75edd829,9a4e2224c7c3376d25c5362de0203714f83e39ce26a442ef92ddb0c542e9c14a,6dc85489ce4259d41ad4263b71f259dd1280d96ee41d1a5dd2766cdceba81272,6d8495975ff96043dc57e630b9a4a5348fa31bfaff89159a4d94bacd2393b6bb,b689de3faec61eb70655f42bd52f17d8f51d27881972cb5d6d2b50c67b83aeba,13313cb281c0624922d985f18d23d1a26f9bc14643ffb5d82496541211eafe1f
