Method,../results/double/config/clean\0,../results/double/config/clean\1,../results/double/config/clean\2,../results/double/config/clean\3
cufft,1628af16ecaae37e6c6ec41a25de1de259ccfc4441c8b2e47148e8feb938fc90,2daa38c7a8edb6a9593055c9c94bec0c1b8f245e59a6af1f416552cc0fb08a49,0423130e356339ecc0774d71ed3cad7a60beb43b3c3a6c99c3b36fee4a8440fe,b00029362b5f6bfee7fbe3deb7781af251ca2dbaf3a424619d96672ffe0f58a1
fftw,df2b6a322c18d97e81eb1fecc8bdd7011b49634e0ba341cd9b30419bdd1c5e4a,4ea2e1acae59c2a74d6c6ffe7a250eda969e8358d3de63a3e01fd640b06c7ad2,b16fcc3e37cd6ddc3340b7132a90186a1ec4666f988603f1fd5b5b6c205ab6ce,508d9cde7dcefe2a9bb78b527eec7b021711950baecd51f0e1b1d670fd4dd889
numpy_fft,985e8395944ba2dc6841f21570587e8c8d9833d3bf98728538ed3e8501b335d1,e56e927fa40778fad34f2b8baab3af845c81d0385419962d00527984adfe554d,0f51ba78659305b1efdc237a79db52378d23622c5fbb2d88fa13fdf0cabd58da,354129d449c3253e45c70d97bbe37ddaaea7305a1e29d629af2e72471d48a780
numpy_pointwise,ba031de018a849412ad36ed81b62960279c4f41096a2a99116a698aa304faf5d,fb3af5aafc158e1c3fe00e9c668e608f16bf2908cbe702ccc627e6ccd4b63c6e,3a47153712f5d21b2a5df6ffdda870881f9c0b3e65817125c60751a72b46195b,1696bc3dc24b51a3bb53431ee4c3cd89487f434bcd817c756cae195cea80caf1
