Method,../results/double/config\clean\0,../results/double/config\clean\1,../results/double/config\clean\2,../results/double/config\clean\3,../results/double/config\noisy\10,../results/double/config\noisy\11,../results/double/config\noisy\12,../results/double/config\noisy\13,../results/double/config\noisy\4,../results/double/config\noisy\5,../results/double/config\noisy\6,../results/double/config\noisy\7,../results/double/config\noisy\8,../results/double/config\noisy\9
cufft,16c15c81aeeaf0960711e82f917e53c1383ddb11551bf845c3cd4f87105768cc,34d02ead0bb0aa30365724b4f4e99f500082701467b250bba95f3bb224a6878b,647a39d9dd5f2842c870514f26f92395db56cdff7a5e97e48035959fc4ef5aeb,330ed004e2fe1f29f5b9bf2160b04ae46fce8cd7b91dd796bfa5fce4bf27b722,e7ad4e2c3e7e5ee777da7f0bd63909fdcc735edf99af3633b1ca2c89562b3315,4709bf04ba18673891aa9c7b7e586db12af9ff03e8905dd059c9db6df8c31efb,fb7b53bb66efc959f556d0ac8c5132d7e02f279109cd474786a910fa8c230c13,6c7c483facb61b4ab1808e8262bee7cd19db85f9d6a7ad7231b512b94ab712ec,6512329bb47e0a8f1e69f0769f90529c7ad8e6124caac13b285508649265651b,20c3938b10f6f129885af573f9673a0d6d4948f69542b048fbde9876444ee7cb,98ecae8f35654631ccb625d5ab00afc84d64a5bd81ea6e4b4025d3e945293c63,2d75453a4c427e6a0add1d21e3ed2839dc35af608a9773ac8f25769752007aa3,bcf0a3aae734e0be588a899327a26f80f7d6e3f0b8a7ab6b82286f2cce83d4ea,dc87a9e044f85b91dcafa1d9cbc3b5b06858b3a04d90f0cde63b5306055b3cab
fftw,054760f8ec5bc98d15d21b37fd51da80d276e418a3ff9e9b3ccff6d4c64c8b40,b8f727cfd70756586da5400fd8af0cb6a43586f0a17c47c355cefae9a0051d1f,8fc480f219e5e56de31231742e84ecafcdfeb189b566066a2961d712c499fd95,6121f056ec3b72f323a8cdd5af0203cce50e70af2d271efcde98f50cd5efc910,06b14615a9b5018e20bc4affd9131f891b534dd5230b0fb3adc911d8ea0336f4,e2830b9beb1ddc802b7a6e0ef13cc66ce2db95af3e6fa3c383880f96148b1d3e,5dea846388b0d002960e03e3303d9479e7fd5dbf2b792068ea4d1d0f99670b25,a5de2108f439fab61a3303c9b23afa085978598e69250d7f3659d1eb91d16ffd,35025f011893c6a154c211877b7da324408a287db425a5725d3c86bd76347a23,6ad3871d9c98e2c9cbb3a49ca06c9a8a43073bbc328dba34e89430662f659e68,0f25e065b8061685988f47d3557b21a5bd5e59227b155269a42211ab52a606ee,3fd8f41d2ae343c682b7d6bb5d2ef6fdfadd25007625ff401e9fe1ae23547cb0,d7d17cc936a7f88ce52c94a991fc8214baaf84a8c2c171385e1ea3a912a06dd2,7f57ebe14d25c2de4f35fb9e16de3f4b38f11f8144ce4dead6c7686b2a92480d
numpy_fft,6ca244cf3f559951acf7ca3a1618b97ba6312ad0b7d1ae6acecac81d52afc3d5,1113675113f4d682a117574e763bfc16cc5fe0b105c78fad56a883ee1bbfc0cc,3832272c5a4707ae42f36f2172970537568e8cd684c9e0886c68477d96820fb4,ff36e6887763a9300288e96bb97e144972060c37e061d3deb02a1c36b2adee61,de1f0c8fb9dbfccc13b8688ee17fc6dd758308e612242d698c6fc2d25b25897d,d58a472d39b251492c292fa599b42b1a2088e90dc33ae60cab3ac24bba9d951b,a651db6e64ccc3bbf66b084814f17f4481405d20501ffeeaed13b967855c6b95,f3dba58fa1e0edc4814b3de5ba28a73db3e5cb7e5908137e21c2eb5219ce2d19,55db12f1f104edf94e42f04eb8d39f4444c7efc263229615d806cb9c825b513d,dbf54dc6ea9119c5c6ce34338127be16622ebaf7a715160daf3501db51e2da90,2e1f3e3de82b798c38d20a970f217ed02cca80f185170fe2ecd6c61c6976318e,01e8fade600ac503954406f81e44d8afee3f54aafde2558a70b6a43fefc8ea46,d602c0ab505306e5ee7900a5e743071383a7bc8336d519c38ccf4a81a34c6170,cff32690c4887a11b3d67cedc232486bf5b298bb8103c2ed9137169ed9f78add
numpy_pointwise,c0ac9864bb1b5555eaf72ded0d9ebfc1dca0b1dc8e857dfcdf99329e6f7d6d81,de7ca8584c849bab77eae5db33558fa17710174f6113c9f689eb760e43b06c7b,8b9c36b1eb5544f53a599c70448e79f067aa6953cf749edc64f4866bab22efda,b7e21fa20fcbd9224644a4ec458dcc423eefd7de6f8e21080456bfb968376582,b8a6e5b6b9114f01ef05100f03d031ca920582e769aeb034a13e41dabf911b41,26f0d8376a3c3ebfc3d03b3eb6cda04ad09c29eda045e4618aad6449d8194435,b76a9bb6c7544dd03cc2c7f40197d9f60163431ceba181f389e16b791e360401,e9d807398020585d7cc2121a622ff47c0b9488d13ea649d5b450bc54347ac73d,bf10e2b2e5f01c7e8379e4f1e72d31c33a7acb0c9ea8a65c07058084af3328ba,0520a9fed77186110ea9ee9617d11b65fb8bd65d8a87a89024f2184d53181cfe,73001822e876cbc3c361f467f9092d70ff9d5ee701ffc4cb85f7f0eb33270abf,6c95e9a1b7fcd6f8cb9d25470cf240fb0cc6793e7bdc2ebe1d5eee040b40898b,d6d77494b926127e89be9dc00403f9d6596c529c19f9ff587eadde24f2a2bbd7,4a878c63c9e40527e028d90e303a75ad112ceeec38f099b10f79008a427b6b5b
