Method (NCC),cufft,fftw,numpy_fft,numpy_pointwise
cufft,1.0004947,0.70745665,0.7074566,0.7074566
fftw,0.70745665,1.0002474,1.0002474,1.0002474
numpy_fft,0.7074566,1.0002474,1.0002474,1.0002474
numpy_pointwise,0.7074566,1.0002474,1.0002474,1.0002474
