Method,../results/double/config/clean/0,../results/double/config/clean/1,../results/double/config/clean/2,../results/double/config/clean/3,../results/double/config/noisy/10,../results/double/config/noisy/11,../results/double/config/noisy/12,../results/double/config/noisy/13,../results/double/config/noisy/4,../results/double/config/noisy/5,../results/double/config/noisy/6,../results/double/config/noisy/7,../results/double/config/noisy/8,../results/double/config/noisy/9
cufft,be134e7dd8e8166df3fa6fbefd35462502f052d6cad80be1b9e787a40794ef58,3b8937b344ef2f5f585027e34340075e9744d42ac4a88a5c5547c74e723af60c,8e208946586ed77ac0d0d5eb3a8dc4357fc32867acea2f2781d2a6b0eae7d2fe,af58e325fd208b0b52756a7153a3303f144bfdd50af10e993fac865154d9e223,4795cee83b13c02c711c401a1dd7e8710331e12cd7ceec22f2ca86c7a622467c,d8b4bc6e79dd1fe3315fdbb0c791cfc376b838c56b456c7b5eeb879e013eb05a,70e6db1cd1c0c41fa0f30333829cf721518ed34ea3038a5fd92e184a8bd6d9a8,793de051d1b2a5bd62dc241329ec117ba8c3fe0e00a3b5b49b9ae095b32973ec,d1f95d2f0b1a95c7ca9bb83d0fa6b8f4979f2b81c4de2401637b62eab5d632ea,32009f941eb7996f386a24b4c30cf5661f2b5b877cd86fb819498ada48d5bba8,993bd62037cfcb39da011d99e5583e6e9af65b362c2183e3427f2e5703189c14,c21232ba3137d5452f8f8cce88d0f403706496c2c22c4c2d74edb526836630dc,9e8f967351c801a789ff4ad504b120bf733b247b745278431e156d7c027f9573,013732f9d34c2a36ce829c8e16a9ba3bbeacfc7d882667ca96dccacecc1e4a1b
fftw,2863c625fa7bb1a5226ff549d6d0dee3095748931faf72e27661fee7ff1c78b1,68a97667420aa5ed141271bd51c1ed5892e7889420ee4765911e6f7978e78e1a,ff7cc7eca40f0e6e7c8927a8a44f2975ffcdcdbd22cfa80afeea5e7dcd96d26c,6ecc85b8f6cfe1165e700e7f54c2776eaad7f1ea2aed3df20bbaa1996a71079a,840da6ee5da324232c21e459e9083822199afb79c69201fdc886b78499bc23fa,9eb2c34b2c2e055dd0a7384b953e6b034485118724458686c71e46b2aaa627a2,4d587e91a2fee3bc008fb31b60fe12248a6250fb4ed118f02871b7eaf2eaee5e,a1670951cedb0868b26619d466a909d496d1d6939b67ed29a1e83132e37ee7c4,c59954871ac9a67b66983ff8fd89716bb1bf7c36e185c7905854a6785253976c,7b25f0e41826c7eb3f216a409e18b1c7038cf7a7e6f568d5dc6f5bb171f46222,33122e1d71d01e39dccccc2cb635cfbe7c299a4f2b71e83db21c45d4e65f476b,b81640e7be8e1f5acbba555e7d8368d2af9a912a358a95fef020eda18b9ef4f6,ec1e19d4173de23309fa0f0d128ebb94bb356887a123b5ddbd5f237844601b31,133249bad3ed06d4148b819409aa391395d1a07dd95fd8bd1b5f4f5e8d353f60
numpy_fft,66aca9766719f3cc77c7899fb8b55dd82846b153b52600dee30328a2b560d582,80b2808ecadad8103f9f34e08402ca454003b16a00a0a8e050a35954ea0c678d,f7b5754fdc6677cd239c679398441723a9a0fa88e94180791ea043795584ea0e,34395fce879cb66f272a695632e7ce04a1f201b53b4bbd348769d93bbc93cc6f,136672b2ec6c49541a9bdf0c0e649f8d6b9648e440ded8e89e16718ccce001a1,df5c357c542f7f9c734aa530af92315f28eb88ace927a3d013e8b36db7d61774,b0fa0bfc20ea91872e7c835f9f061188f7bfcf0eb8e3230667754a61ce600b6e,5d2fff05364bdde0dbfea46b5c8c3352e8a803a5380723bb38c965e123f35fa0,f1cfa5525339c15d4c4b27be2d5792a3bc4b48b6ff9babf288406b3676c7d957,9514d8daa80d373728a61c095cf1dd32ed8581bffd0ae46837b951198db006bf,3512992637b5cd86f1c5bcb64f2f25c04d02abb7b31bf66ab918b60bb10752c4,264be0e2f4930d89ee489eb43af3983f8621af0f25a6f9b5a91b4900cbdd663c,6fdfa8e6bb36a47043f451341e25a01bf01fc0e3273829947b1f95e69ce64db9,2a49f8d6cc613ccd3b80245712e67fcd4fcba4c3dc36b23b98bf4d9e3c8ceb46
numpy_pointwise,f3d5412f86bcc223eaad4348ea3e3854edf4bd9ca92f0c91d2a1fa5bbd4db4b1,35d8023001fee646e6afe5196d3240df4f56680e0b1cfb0d8c3e76c437c01f04,e82083f2d9d5a7bb79a313733d445e11fb1a23a7887296de1be3c41f190bb7db,c10134265d77fd24d6def29eec9f8293899f6df5b62875acbdb9b62370e4a3fe,1f5c13c7bcd3405284fb4716534aa5911f0b28aa244ddfda6b1c0c28197b0f34,cdd5a2abc1986567708a418a19f52c811d8aa43c867939985622458d17ac221b,2d8db8a42d0dbbdc274ae9039087b839702fda6db6ad8e2419670e7a1feaf751,286ad3e9925bf16a2c42447df8f1d5f8839a040e0bb9d4bd761bea6bb101f584,c8962da7a8ae1ca8cc0af500d2d98df82d2f072e7a22e7167e425468b1d65b44,6f26615d723a5b7e862274ba7f81f7a8dcdde6bf992dd6c95993ae11c76a8f74,039c96645b2762b41119e58006a8b736262e07cf100d512ba085382c11cb31a2,6967067b99f1dd137fd7177e38547348f39aa6d25ea4f9d4e49435b4ad94747b,7e3389593b50495a07c7fdbeb4e700dd031e9a7169459dd208748428b7aa67f6,9b3b99801b3486d012bd4819a12fff3b2b9dd62361c436dec25012b1ad7fd364
