Method,../results/double/config/clean/0,../results/double/config/clean/1,../results/double/config/clean/2,../results/double/config/clean/3,../results/double/config/noisy/10,../results/double/config/noisy/11,../results/double/config/noisy/12,../results/double/config/noisy/13,../results/double/config/noisy/4,../results/double/config/noisy/5,../results/double/config/noisy/6,../results/double/config/noisy/7,../results/double/config/noisy/8,../results/double/config/noisy/9
cufft,3227baa4f74cd818a2e2eb9acc2dc3922472ec18c967d09d89c28e0e468d3920,94b58a7c8b1e694feca41762a42e9a0370f94dbf8e322ea549d48eae4699eace,4c42b7c4d8f35d1d8aa57c9d6fc501c49853fb50f0ca25b296ab5f236e18745b,28b167c03de271f9226cdc68e1ef978b217c84450acfe87fd214a65a033fe4f9,5a84c8fba6b00debbc88e042aa4fc590aa63e1bc090573941978c0a543ceed91,8e0317d7fadd50ccefe7ba1126ce382d6c8a142419955b4365e58c745099f409,b81738356f6376207698d0d52fc584d60cf1964c66321c0ccb7da17f44223524,b18f59c54989a2f11ab4ce6e5912706d290190cb764f32aadafcf925b89b0312,86075daf9b6190ddae447f35043b83125c137007d91f2609c66f6a50d386f7f7,494c653799be85efe2dbe1e6eaeab895411bda49356b1656cb5ef8e9336e6bc6,11fd2e6a93c7a9d4bc6850cf30512382f3700c6e0886148f43e88d789cb2c1a8,64ddb90f5ad8f4f3e6c9118dbf955ac934db0ccf443c8ea40999c99e6896ad81,72de360ee03c3f0b3344e5582472a65127e5810a3995705be7046bbf35dd1787,53227f28452b29dc8b3901cd7ca04d6f5728fc1efc8904d6ee7792addd7b2238
fftw,85a3b85bceec0f1f1356ce2252a0985485c1bd16757db4e0ad5d95ccbd7dee55,3d07ecf2fee81595c5282e7e9801cd994e09b69ba693592ee75c84a8fc76ea74,1be5a8f20bcae0138142fcc59f0d33286d928ffda9af8eb1a734dfc6a17080ec,cc863d4ae4fa1d6b70e75135e16d89d67a29e7664bd7282b3db83cf1ff6b8730,5a9a6165975c399f6640b1755c55cbf5ca612ee797e47a9f829623976cb7e530,d3debda39fdeaaf2e7286b643459f4e55eea3035bbfe3eb47e8568f4b3567644,d703b3644fafd16c2d8938f53d0b7fb63a8862939f52ad4eb97480bb823ff989,5313be978a60b154af49b1beb8f30375b727c3664b3c84fa26b9cf54d3912560,0ee67c41faf50838a1da0148dba4321f35c006f05ec043b9d1b7072c0e5dfe52,ce76ca76a0009e6b419c25b7107433436cf9b5966f755590364ac9ed20554032,faa7bb3c0a019a59035bc378a1b86c7802a418cf5f20e1a03b3df085910ec6ed,1cb3a8d13e7a376a0c181e35355eada16a7e8780d44c0e4a7078b8cdff994e06,98b9018e1c4d2ac621f36b915b904daa8fe3968365297da38e0f80f9a67a7e7f,56b8a94063c38155936943f5d019df2b2455d86381724324c320f7d2ae42af17
numpy_fft,0e9cf907f296b393bedc933c8d61aee1c64dbbcc4d803c5e037d5128d745348f,a52ee1aa39a00e611ecf77e8f7b93774eab6c75fabfd84186bc0f1f92eb64886,d1940200db9b999bcc7c1dde556fac20cb15eb4f77e5634f0395f12f0f2f8b1d,397b03fc797a69282ca4b3d4d7e7fb02fa785efb9c8cc6bcee5d58d53cba7ecc,4d18ae4f34e78c8ce25edc9e99588d98814509bfb6eb598e079b89300055769a,b7415605a745e6c218436ed68f8544fbd38475004f725652f9341a72a2b36257,51554510459e730993b8d00c7879f338ff7cebf344033e2cb5cab60be968cabf,e201cac3301236774245b85728449f43bdaae68dcc6d36f28e5789bf82852c40,02f99363a05ecda66087bbccaa7ad098b8c7e7f719550d18e036a39c4621b565,c5b6ccf21ebfcb521fb533e859500ee16cfb0310f42f117b5783fb1af177086f,f2268f2e1f13e99cf5bd72f0a51d9bc8261b6ac4a9eadff35f9cd5e8d0c06dfb,7c7952c794b0d1b7a33ccfda44e8fe9ca2539da023266313641ee1ccf3f27bbd,f2f6ab1cf55a165271dddec9a880727051b38bef8a00ca23d0ae2a33892017d0,9ecec97f1bdb4b7600074d88df2d82d2f5a53e3db56456143fc67327c24ed8d3
numpy_pointwise,d10fcc5ffb90330df5dbb5c76a2c9e3a35dd92193bd857fc6f2313d326c531d3,60a44c8ea5b51dfcce6184c32ed156dec1e8f5a35ebfbba231dc05016089bc04,9dd348bae69ecfe2c58aef1d3dcaa3103d4f947dad205f46e2d37955f70b7e48,0d3053281f5bcad967b0d93e19337774267f6d6be97f2f68a72cf221a55d0e8e,d5fc5648b1c875dc65cde80b0697578162a3b51212e20019a13822b56223c6e9,b068aa044e0ca9985298c476cc05e39063303d5906ea3e2d037e2412bb456561,488603d0ce4c38f6a73b8c6c99985dc83f43c3dbfbcbfd29d8f5eca1a243ae1b,64104e5fcadcfe240a2468dd448e864304de3bfac27b21257961fe4ff0b2df73,76deab8cdcc8f1762b37ca8c8dfde6c31b20e8799c34a8f3697b0305ab97c82e,efa4edc187e74e5c72e1314041db54512ad11bb20d8da5f2b5d0595b27746edf,25c3c2b16548b373c5f9bdb0c0dc8da9aaee2369b59972575ac02ebeed084086,5f0221b0fd06e202c55990b57f82f9ca24c1f2268a5ac716277089c166f3361a,20aca8eda98b88afce7d9983abc8a00788931ba3c087666d3e291b6972c6b3eb,0252c111c648dbadba83aa8258c95dc375b45ad3acfbbc565cc8b2731422343c
